district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
朝阳区	写字楼	1	1	1	1	1	0	0	31000.0	3520.0	6.0	116.481544	39.973476	0	0	2	6	0	0	4	0	0	-52
西城区	商住两用	1	1	1	1	1	1	1	120000.0	13200.0	10.0	116.364136	39.91308	1	12	3	5	3	0	31	1	2	-110
大兴区	商住两用	1	1	1	1	1	0	1	29000.0	3960.0	11.0	116.500015	39.79962	0	0	4	18	0	0	2	0	0	-27
大兴区	写字楼	1	1	0	0	0	0	1	NULL	7040.0	5.5	116.50869	39.80059	1	1	4	18	0	0	0	0	0	-47
朝阳区	商住两用	1	1	1	0	1	0	0	50000.0	48840.0	8.5	116.46885	39.992973	0	4	3	163	0	0	11	1	1	-93
海淀区	写字楼	1	0	0	1	0	0	1	55000.0	17600.0	21.5	116.33502	39.98745	1	7	2	12	0	0	40	1	0	-132
朝阳区	商住两用	1	1	1	1	1	0	1	58000.0	5280.0	18.0	116.45556	39.927464	2	17	5	28	1	0	82	3	0	-114
海淀区	商住两用	1	1	0	0	0	0	1	48600.0	1320.0	15.0	116.31315	39.951443	2	6	3	27	0	1	59	0	0	-37
丰台区	纯住宅	0	1	1	0	0	0	0	34300.0	1512.0	18.0	116.38192	39.84981	0	2	0	34	0	0	15	1	0	-48
朝阳区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	24.0	116.46722	39.884945	0	2	3	161	0	0	28	0	0	-92
朝阳区	写字楼	1	1	0	0	1	1	0	NULL	3520.0	4.0	116.49029	39.973705	1	1	0	26	0	0	13	0	0	-114
朝阳区	商住两用	1	1	1	1	1	1	1	40000.0	2640.0	27.0	116.44575	39.905087	6	2	1	26	1	0	8	0	0	-61
东城区	纯住宅	1	1	1	1	1	0	1	48458.0	3038.0	13.5	116.44238	39.897488	1	7	2	47	0	0	35	1	0	-109
朝阳区	写字楼	1	1	1	1	1	0	1	66200.0	3520.0	7.0	116.47245	39.90703	12	10	1	5	0	0	34	0	0	-113
朝阳区	纯住宅	1	1	1	0	0	0	1	43849.0	4534.44	16.5	116.47696	39.89014	0	6	3	127	0	0	25	0	0	-138
海淀区	写字楼	1	1	1	0	0	0	1	43000.0	3520.0	24.0	116.35311	39.97742	1	1	0	34	0	0	18	0	2	-262
海淀区	写字楼	1	1	1	0	0	0	1	37000.0	3414.4	20.0	116.3219	39.977184	2	10	1	25	1	0	8	1	2	-81
朝阳区	写字楼	1	1	1	1	1	0	1	42000.0	3520.0	24.0	116.41215	39.98287	5	10	2	10	0	0	10	0	0	-112
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	14.0	116.49029	39.973705	1	1	0	26	0	0	13	0	0	-114
海淀区	写字楼	1	1	1	0	0	0	1	NULL	2464.0	16.0	116.31941	39.97661	6	1	0	32	0	0	9	0	3	-138
海淀区	写字楼	1	0	0	0	0	0	1	37000.0	3520.0	19.0	116.30231	39.94566	0	1	2	38	0	0	6	0	0	-117
东城区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	7.0	116.36829	39.86883	2	0	1	25	0	1	26	1	0	-71
朝阳区	纯住宅	1	1	1	1	0	0	1	41000.0	1050.0	18.5	116.45972	39.868374	1	2	0	1	0	0	6	0	0	-174
丰台区	纯住宅	1	1	0	0	0	0	0	30630.0	861.0	21.0	116.40764	39.84415	0	3	2	10	0	1	34	0	0	-17
